h,central O(h^2),five-point O(h^4)
0.1,0.00020415501600234975,1.0205988920652942e-07
0.023101297000831605,1.0896428462414676e-05,2.907528662277059e-10
0.005336699231206312,5.815132800846001e-07,8.225642389447785e-13
0.0012328467394420659,3.103363011014437e-08,7.882583474838611e-15
0.0002848035868435802,1.6560826043843235e-09,1.3511414209688155e-13
6.579332246575683e-05,8.816170016245906e-11,5.695444116327053e-13
1.5199110829529332e-05,3.481437360619566e-12,7.794875855893224e-13
3.5111917342151347e-06,9.87065984503488e-12,1.118805048605509e-11
8.111308307896872e-07,4.883093929208826e-12,2.7695290505391768e-11
1.873817422860383e-07,6.518119377574294e-12,3.120537162004666e-11
4.328761281083061e-08,1.187436815541787e-10,1.18787202296744e-11
1e-08,1.4931768044235127e-09,1.955769879380398e-09
