time,robot_id,x,y,vx,vy
0.0000,0,19.600000,60.300000,0.000000,0.000000
0.0200,0,19.591895,60.282457,-0.796556,-1.724425
0.0400,0,19.568675,60.232151,-1.512395,-3.279460
0.0600,0,19.531879,60.152298,-2.156014,-4.681594
0.0800,0,19.482962,60.045763,-2.717540,-5.953549
0.1000,0,19.424202,59.914720,-3.116073,-7.142875
0.1200,0,19.361045,59.760162,-3.103986,-8.306595
0.1400,0,19.304451,59.583268,-2.448855,-9.342890
0.1600,0,19.266199,59.388365,-1.324448,-10.096609
0.1800,0,19.252945,59.181374,0.015355,-10.561998
0.2000,0,19.267139,58.967338,1.407056,-10.808247
0.2200,0,19.309310,58.750435,2.811444,-10.845522
0.2400,0,19.379525,58.534910,4.206045,-10.672375
0.2600,0,19.477383,58.325101,5.573950,-10.266337
0.2800,0,19.590408,58.115451,5.447543,-10.925995
0.3000,0,19.696087,57.888713,5.148178,-11.730829
0.3200,0,19.797716,57.646950,5.047937,-12.426484
0.3400,0,19.899303,57.392449,5.139274,-13.003886
0.3600,0,20.004281,57.127574,5.381693,-13.463907
0.3800,0,20.115225,56.854581,5.719115,-13.822925
0.4000,0,20.233098,56.575040,6.070121,-14.121611
0.4200,0,20.358295,56.290201,6.459123,-14.348445
0.4400,0,20.491626,56.001518,6.871234,-14.514006
0.4600,0,20.632827,55.709719,7.233271,-14.669290
0.4800,0,20.780380,55.414633,7.516684,-14.836616
0.5000,0,20.933525,55.116501,7.805728,-14.965953
0.5200,0,21.093196,54.816622,8.179200,-15.002887
0.5400,0,21.261226,54.517047,8.630019,-14.943241
0.5600,0,21.438429,54.219155,9.083567,-14.846543
0.5800,0,21.624104,53.922967,9.474765,-14.775807
0.6000,0,21.817185,53.628098,9.827863,-14.711579
0.6200,0,22.016978,53.334454,10.141709,-14.657680
0.6400,0,22.222468,53.041593,10.404846,-14.626962
0.6600,0,22.433361,52.749689,10.694995,-14.549675
0.6800,0,22.650875,52.460395,11.072100,-14.357579
0.7000,0,22.876613,52.176029,11.502623,-14.072770
0.7200,0,23.110763,51.897386,11.898613,-13.805297
0.7400,0,23.351989,51.623234,12.217569,-13.614434
0.7600,0,23.599462,51.352952,12.537057,-13.399806
