time,robot_id,x,y,vx,vy
0.0000,0,10.702265,38.157469,0.000000,0.000000
0.0000,1,11.057690,38.139756,0.000000,0.000000
0.0000,2,11.405276,38.155736,0.000000,0.000000
0.0000,3,11.744265,38.154921,0.000000,0.000000
0.0000,4,12.095758,38.147996,0.000000,0.000000
0.0000,5,113.100245,38.551070,0.000000,0.000000
0.0000,6,112.754685,38.560247,0.000000,0.000000
0.0000,7,112.405153,38.556532,0.000000,0.000000
0.0000,8,112.051346,38.553468,0.000000,0.000000
0.0000,9,111.700163,38.561146,0.000000,0.000000
0.0200,0,10.702737,38.157812,0.046576,0.033802
0.0200,1,11.058151,38.140114,0.045427,0.035331
0.0200,2,11.405747,38.156079,0.046507,0.033897
0.0200,3,11.744737,38.155266,0.046474,0.033941
0.0200,4,12.096225,38.148346,0.046038,0.034531
0.0200,5,113.100711,38.550718,0.045942,-0.034658
0.0200,6,112.755145,38.559888,0.045357,-0.035421
0.0200,7,112.405615,38.556176,0.045625,-0.035074
0.0200,8,112.051810,38.553115,0.045851,-0.034779
0.0200,9,111.700623,38.560787,0.045366,-0.035410
0.0400,0,10.704103,38.158802,0.089444,0.064819
0.0400,1,11.059483,38.141150,0.087241,0.067755
0.0400,2,11.407111,38.157073,0.089311,0.065002
0.0400,3,11.746100,38.156261,0.089250,0.065086
0.0400,4,12.097575,38.149358,0.088413,0.066218
0.0400,5,113.102059,38.549703,0.088229,-0.066463
0.0400,6,112.756476,38.558850,0.087107,-0.067928
0.0400,7,112.406954,38.555148,0.087621,-0.067262
0.0400,8,112.053155,38.552096,0.088055,-0.066694
0.0400,9,111.701954,38.559749,0.087123,-0.067907
0.0600,0,10.706293,38.160387,0.128945,0.093217
0.0600,1,11.061619,38.142806,0.125775,0.097451
0.0600,2,11.409297,38.158662,0.128753,0.093481
0.0600,3,11.748284,38.157852,0.128665,0.093603
0.0600,4,12.099739,38.150977,0.127462,0.095234
0.0600,5,113.104218,38.548078,0.127197,-0.095588
0.0600,6,112.758608,38.557189,0.125582,-0.097700
0.0600,7,112.409098,38.553504,0.126323,-0.096741
0.0600,8,112.055311,38.550465,0.126946,-0.095921
0.0600,9,111.704086,38.558089,0.125606,-0.097670
0.0800,0,10.709241,38.162515,0.165386,0.119155
0.0800,1,11.064495,38.145031,0.161334,0.124587
0.0800,2,11.412241,38.160796,0.165142,0.119494
0.0800,3,11.751226,38.159988,0.165029,0.119650
0.0800,4,12.102653,38.153150,0.163491,0.121743
0.0800,5,113.107126,38.545896,0.163153,-0.122196
0.0800,6,112.761479,38.554959,0.161087,-0.124906
0.0800,7,112.411987,38.551296,0.162034,-0.123675
0.0800,8,112.058213,38.548276,0.162831,-0.122624
0.0800,9,111.706958,38.555860,0.161117,-0.124867
0.1000,0,10.712890,38.165138,0.199051,0.142780
0.1000,1,11.068054,38.147774,0.194193,0.149320
0.1000,2,11.415884,38.163426,0.198757,0.143188
0.1000,3,11.754867,38.162622,0.198622,0.143376
0.1000,4,12.106260,38.155831,0.196779,0.145895
0.1000,5,113.110726,38.543206,0.196373,-0.146441
0.1000,6,112.765033,38.552209,0.193896,-0.149705
0.1000,7,112.415562,38.548573,0.195032,-0.148222
0.1000,8,112.061806,38.545576,0.195988,-0.146956
0.1000,9,111.710513,38.553111,0.193933,-0.149657
0.1200,0,10.717186,38.168211,0.230192,0.164232
0.1200,1,11.072246,38.150988,0.224602,0.171798
0.1200,2,11.420174,38.166509,0.229855,0.164703
0.1200,3,11.759154,38.165709,0.229699,0.164920
0.1200,4,12.110508,38.158972,0.227578,0.167835
0.1200,5,113.114965,38.540053,0.227112,-0.168466
0.1200,6,112.769219,38.548986,0.224261,-0.172243
0.1200,7,112.419772,38.545382,0.225568,-0.170527
0.1200,8,112.066036,38.542412,0.226668,-0.169062
0.1200,9,111.714699,38.549888,0.224303,-0.172188
0.1400,0,10.722082,38.171693,0.259043,0.183640
0.1400,1,11.077023,38.154631,0.252789,0.192158
0.1400,2,11.425063,38.170001,0.258666,0.184171
0.1400,3,11.764040,38.169205,0.258492,0.184416
0.1400,4,12.115349,38.162530,0.256119,0.187696
0.1400,5,113.119795,38.536481,0.255597,-0.188406
0.1400,6,112.773989,38.545333,0.252407,-0.192659
0.1400,7,112.424569,38.541766,0.253870,-0.190727
0.1400,8,112.070857,38.538828,0.255101,-0.189078
0.1400,9,111.719471,38.546237,0.252455,-0.192597
0.1600,0,10.727534,38.175544,0.285813,0.201128
0.1600,1,11.082344,38.158662,0.278960,0.210531
0.1600,2,11.430507,38.173863,0.285400,0.201714
0.1600,3,11.769480,38.173072,0.285209,0.201984
0.1600,4,12.120739,38.166466,0.282610,0.205604
0.1600,5,113.125175,38.532530,0.282038,-0.206388
0.1600,6,112.779302,38.541293,0.278542,-0.211083
0.1600,7,112.429913,38.537766,0.280146,-0.208950
0.1600,8,112.076227,38.534862,0.281495,-0.207129
0.1600,9,111.724784,38.542198,0.278594,-0.211015
0.1800,0,10.733502,38.179726,0.310693,0.216810
0.1800,1,11.088170,38.163040,0.303302,0.227035
0.1800,2,11.436467,38.178057,0.310248,0.217447
0.1800,3,11.775435,38.177273,0.310042,0.217740
0.1800,4,12.126641,38.170742,0.307240,0.221676
0.1800,5,113.131065,38.528238,0.306623,-0.222528
0.1800,6,112.785119,38.536903,0.302851,-0.227636
0.1800,7,112.435763,38.533420,0.304582,-0.225315
0.1800,8,112.082105,38.530555,0.306037,-0.223334
0.1800,9,111.730602,38.537809,0.302907,-0.227561
0.2000,0,10.739950,38.184205,0.333856,0.230792
0.2000,1,11.094465,38.167731,0.325984,0.241783
0.2000,2,11.442906,38.182549,0.333382,0.231476
0.2000,3,11.781870,38.181771,0.333163,0.231791
0.2000,4,12.133017,38.175322,0.330180,0.236022
0.2000,5,113.137429,38.523640,0.329523,-0.236937
0.2000,6,112.791405,38.532199,0.325505,-0.242429
0.2000,7,112.442085,38.528765,0.327348,-0.239933
0.2000,8,112.088457,38.525940,0.328899,-0.237803
0.2000,9,111.736889,38.533107,0.325564,-0.242349
0.2200,0,10.746846,38.188947,0.355457,0.243176
0.2200,1,11.101199,38.172701,0.347161,0.254880
0.2200,2,11.449792,38.187306,0.354958,0.243904
0.2200,3,11.788752,38.186534,0.354727,0.244239
0.2200,4,12.139838,38.180172,0.351584,0.248743
0.2200,5,113.144235,38.518771,0.350892,-0.249718
0.2200,6,112.798129,38.527216,0.346655,-0.255568
0.2200,7,112.448847,38.523834,0.348599,-0.252909
0.2200,8,112.095251,38.521053,0.350234,-0.250640
0.2200,9,111.743615,38.528126,0.346717,-0.255483
0.2400,0,10.754159,38.193922,0.375639,0.254054
0.2400,1,11.108342,38.177916,0.366969,0.266424
0.2400,2,11.457095,38.192295,0.375117,0.254823
0.2400,3,11.796050,38.191530,0.374877,0.255177
0.2400,4,12.147071,38.185261,0.371593,0.259935
0.2400,5,113.151455,38.513662,0.370870,-0.260966
0.2400,6,112.805262,38.521987,0.366440,-0.267151
0.2400,7,112.456020,38.518659,0.368474,-0.264339
0.2400,8,112.102457,38.515925,0.370182,-0.261941
0.2400,9,111.750749,38.522898,0.366506,-0.267061
0.2600,0,10.761863,38.199100,0.394528,0.263514
0.2600,1,11.115869,38.183348,0.385534,0.276505
0.2600,2,11.464788,38.197489,0.393988,0.264321
0.2600,3,11.803738,38.196731,0.393738,0.264693
0.2600,4,12.154693,38.190560,0.390333,0.269688
0.2600,5,113.159062,38.508342,0.389583,-0.270771
0.2600,6,112.812778,38.516540,0.384986,-0.277269
0.2600,7,112.463577,38.513270,0.387096,-0.274314
0.2600,8,112.110049,38.510585,0.388869,-0.271795
0.2600,9,111.758267,38.517453,0.385054,-0.277174
0.2800,0,10.769932,38.204454,0.412240,0.271639
0.2800,1,11.123756,38.188967,0.402970,0.285209
0.2800,2,11.472846,38.202859,0.411683,0.272481
0.2800,3,11.811792,38.202109,0.411426,0.272869
0.2800,4,12.162677,38.196040,0.407918,0.278086
0.2800,5,113.167031,38.502840,0.407144,-0.279217
0.2800,6,112.820654,38.510905,0.402404,-0.286008
0.2800,7,112.471496,38.507695,0.404581,-0.282919
0.2800,8,112.118004,38.505062,0.406409,-0.280287
0.2800,9,111.766144,38.511820,0.402474,-0.285909
0.3000,0,10.778345,38.209957,0.428877,0.278506
0.3000,1,11.131981,38.194748,0.419376,0.292616
0.3000,2,11.481248,38.208380,0.428307,0.279381
0.3000,3,11.820188,38.207637,0.428044,0.279784
0.3000,4,12.171002,38.201675,0.424450,0.285206
0.3000,5,113.175340,38.497182,0.423657,-0.286383
0.3000,6,112.828867,38.505109,0.418795,-0.293447
0.3000,7,112.479754,38.501962,0.421028,-0.290233
0.3000,8,112.126299,38.499383,0.422903,-0.287495
0.3000,9,111.774359,38.506026,0.418867,-0.293344
0.3200,0,10.787081,38.215586,0.444533,0.284188
0.3200,1,11.140525,38.200664,0.434844,0.298800
0.3200,2,11.489972,38.214027,0.443953,0.285093
0.3200,3,11.828907,38.213292,0.443685,0.285510
0.3200,4,12.179649,38.207440,0.440021,0.291123
0.3200,5,113.183971,38.491393,0.439212,-0.292342
0.3200,6,112.837399,38.499176,0.434251,-0.299661
0.3200,7,112.488331,38.496094,0.436531,-0.296330
0.3200,8,112.134914,38.493571,0.438443,-0.293495
0.3200,9,111.782892,38.500095,0.434325,-0.299554
0.3400,0,10.796120,38.221317,0.459292,0.288753
0.3400,1,11.149369,38.206692,0.449456,0.303830
0.3400,2,11.499000,38.219776,0.458703,0.289687
0.3400,3,11.837929,38.219050,0.458431,0.290116
0.3400,4,12.188597,38.213312,0.454714,0.295905
0.3400,5,113.192903,38.485496,0.453891,-0.297165
0.3400,6,112.846232,38.493130,0.448853,-0.304720
0.3400,7,112.497209,38.490116,0.451169,-0.301281
0.3400,8,112.143831,38.487650,0.453110,-0.298354
0.3400,9,111.791726,38.494051,0.448928,-0.304610
0.3600,0,10.805447,38.227129,0.473226,0.292266
0.3600,1,11.158498,38.212810,0.463284,0.307774
0.3600,2,11.508315,38.225607,0.472632,0.293225
0.3600,3,11.847239,38.224890,0.472357,0.293667
0.3600,4,12.197832,38.219269,0.468601,0.299618
0.3600,5,113.202121,38.479513,0.467769,-0.300916
0.3600,6,112.855348,38.486994,0.462673,-0.308691
0.3600,7,112.506372,38.484050,0.465016,-0.305151
0.3600,8,112.153033,38.481644,0.466980,-0.302139
0.3600,9,111.800844,38.487918,0.462748,-0.308578
0.3800,0,10.815045,38.233001,0.486404,0.294788
0.3800,1,11.167896,38.218996,0.476392,0.310693
0.3800,2,11.517900,38.231499,0.485806,0.295771
0.3800,3,11.856819,38.230791,0.485530,0.296223
0.3800,4,12.207337,38.225290,0.481750,0.302324
0.3800,5,113.211609,38.473466,0.480911,-0.303657
0.3800,6,112.864734,38.480789,0.475776,-0.311636
0.3800,7,112.515805,38.477917,0.478138,-0.308002
0.3800,8,112.162505,38.475572,0.480116,-0.304911
0.3800,9,111.810231,38.481715,0.475852,-0.311520
0.4000,0,10.824899,38.238915,0.498884,0.296378
0.4000,1,11.177549,38.225231,0.488840,0.312645
0.4000,2,11.527742,38.237432,0.498285,0.297382
0.4000,3,11.866655,38.236733,0.498008,0.297844
0.4000,4,12.217097,38.231356,0.494218,0.304081
0.4000,5,113.221353,38.467373,0.493375,-0.305447
0.4000,6,112.874375,38.474535,0.488219,-0.313614
0.4000,7,112.525493,38.471736,0.490591,-0.309893
0.4000,8,112.172233,38.469454,0.492577,-0.306731
0.4000,9,111.819874,38.475463,0.488296,-0.313494
0.4200,0,10.834996,38.244851,0.510720,0.297091
0.4200,1,11.187445,38.231496,0.500677,0.313688
0.4200,2,11.537827,38.243388,0.510121,0.298114
0.4200,3,11.876735,38.242698,0.509845,0.298585
0.4200,4,12.227101,38.237448,0.506058,0.304945
0.4200,5,113.231340,38.461254,0.505212,-0.306343
0.4200,6,112.884259,38.468251,0.500054,-0.314680
0.4200,7,112.535425,38.465527,0.502428,-0.310880
0.4200,8,112.182204,38.463308,0.504415,-0.307652
0.4200,9,111.829759,38.469181,0.500131,-0.314558
0.4400,0,10.845323,38.250793,0.521957,0.296980
0.4400,1,11.197573,38.237773,0.511948,0.313874
0.4400,2,11.548143,38.249351,0.521361,0.298020
0.4400,3,11.887045,38.248671,0.521086,0.298499
0.4400,4,12.237336,38.243548,0.517314,0.304969
0.4400,5,113.241558,38.455125,0.516470,-0.306396
0.4400,6,112.894373,38.461953,0.511325,-0.314888
0.4400,7,112.545587,38.459307,0.513694,-0.311016
0.4400,8,112.192406,38.457153,0.515675,-0.307729
0.4400,9,111.839875,38.462887,0.511402,-0.314764
0.4600,0,10.855870,38.256725,0.532637,0.296096
0.4600,1,11.207920,38.244045,0.522695,0.313254
0.4600,2,11.558678,38.255304,0.532046,0.297151
0.4600,3,11.897574,38.254633,0.531773,0.297637
0.4600,4,12.247790,38.249641,0.528028,0.304205
0.4600,5,113.251995,38.449003,0.527187,-0.305659
